[18:50:39] === round 1 | niche=trades | sourcing OSM ===
[19:15:54] round 1 done | +44 new leads (scanned 78) | master total: 44
[19:17:24] === round 2 | niche=pro | sourcing OSM ===
[19:18:27] === round 1 | niche=trades | sourcing OSM ===
[19:41:24] round 1 done | +0 new leads (scanned 0) | master total: 34
[19:42:54] === round 2 | niche=pro | sourcing OSM ===
[19:43:02] === round 1 | niche=trades_auto | sourcing OSM ===
[20:01:12] round 1 done | +6 new leads (scanned 15) | master total: 40
[20:02:33] === round 1 | niche=trades_auto | sourcing OSM ===
[20:29:23] round 1 done | +4 new leads (scanned 0) | master total: 44
[20:30:53] === round 2 | niche=trades_build | sourcing OSM ===
[20:56:42] round 2 done | +7 new leads (scanned 3) | master total: 51
[20:58:12] === round 3 | niche=trades_shop | sourcing OSM ===
[21:47:38] round 3 done | +18 new leads (scanned 15) | master total: 69
[21:49:08] === round 4 | niche=trades_misc | sourcing OSM ===
[00:27:28] round 4 done | +8 new leads (scanned 9) | master total: 77
[00:28:58] === round 5 | niche=pro | sourcing OSM ===
[00:53:24] round 5 done | +107 new leads (scanned 126) | master total: 184
[00:54:54] === round 6 | niche=clinic | sourcing OSM ===
[01:14:58] round 6 done | +51 new leads (scanned 68) | master total: 235
[01:16:28] === round 7 | niche=local_a | sourcing OSM ===
[01:39:13] round 7 done | +66 new leads (scanned 101) | master total: 301
[01:40:43] === round 8 | niche=local_b | sourcing OSM ===
[02:05:43] round 8 done | +43 new leads (scanned 43) | master total: 344
[02:07:13] === round 9 | niche=trades_auto | sourcing OSM ===
[02:33:10] round 9 done | +0 new leads (scanned 0) | master total: 344
[02:34:40] === round 10 | niche=trades_build | sourcing OSM ===
[03:17:29] round 10 done | +0 new leads (scanned 0) | master total: 344
[03:18:59] === round 11 | niche=trades_shop | sourcing OSM ===
[03:52:14] round 11 done | +0 new leads (scanned 0) | master total: 344
[03:53:44] === round 12 | niche=trades_misc | sourcing OSM ===
[04:29:07] round 12 done | +0 new leads (scanned 0) | master total: 344
[04:30:37] === round 13 | niche=pro | sourcing OSM ===
[05:22:42] round 13 done | +0 new leads (scanned 0) | master total: 344
[05:24:12] === round 14 | niche=clinic | sourcing OSM ===
[06:27:57] round 14 done | +0 new leads (scanned 0) | master total: 344
[06:29:27] === round 15 | niche=local_a | sourcing OSM ===
[07:14:19] round 15 done | +0 new leads (scanned 0) | master total: 344
[07:15:49] === round 16 | niche=local_b | sourcing OSM ===
[07:57:33] round 16 done | +0 new leads (scanned 0) | master total: 344
[07:59:03] === round 17 | niche=trades_auto | sourcing OSM ===
[09:07:35] round 17 done | +0 new leads (scanned 0) | master total: 344
[09:09:05] === round 18 | niche=trades_build | sourcing OSM ===
