[20:40:05] roofing contractor | Miami FL | scraped 69, +34 leads | maps total: 34
[20:40:51] roofing contractor | Hialeah FL | scraped 72, +23 leads | maps total: 57
[20:41:21] roofing contractor | Miami Gardens FL | scraped 72, +19 leads | maps total: 76
[20:41:54] roofing contractor | Homestead FL | scraped 64, +34 leads | maps total: 110
[20:43:22] roofing contractor | Kendall FL | scraped 73, +33 leads | maps total: 143
[20:44:38] roofing contractor | Doral FL | scraped 68, +25 leads | maps total: 168
[20:45:13] roofing contractor | Coral Gables FL | scraped 67, +14 leads | maps total: 182
[20:46:00] roofing contractor | Fort Lauderdale FL | scraped 75, +37 leads | maps total: 219
[20:47:26] roofing contractor | Hollywood FL | scraped 70, +35 leads | maps total: 254
[20:48:43] roofing contractor | Pembroke Pines FL | scraped 69, +29 leads | maps total: 283
[20:49:28] roofing contractor | Pompano Beach FL | scraped 69, +40 leads | maps total: 323
[20:50:04] roofing contractor | Boca Raton FL | scraped 74, +28 leads | maps total: 351
[20:51:28] roofing contractor | Miramar FL | scraped 70, +11 leads | maps total: 362
[20:52:16] roofing contractor | Davie FL | scraped 76, +18 leads | maps total: 380
[20:52:52] roofing contractor | Sunrise FL | scraped 72, +28 leads | maps total: 408
[20:53:31] roofing contractor | Coral Springs FL | scraped 73, +26 leads | maps total: 434
[20:54:10] plumber | Miami FL | scraped 73, +45 leads | maps total: 479
[20:55:36] plumber | Hialeah FL | scraped 57, +21 leads | maps total: 500
[20:56:09] plumber | Miami Gardens FL | scraped 71, +19 leads | maps total: 519
[20:56:44] plumber | Homestead FL | scraped 71, +27 leads | maps total: 546
[20:57:19] plumber | Kendall FL | scraped 69, +16 leads | maps total: 562
[20:57:48] plumber | Doral FL | scraped 66, +10 leads | maps total: 572
[20:58:13] plumber | Coral Gables FL | scraped 61, +4 leads | maps total: 576
[20:59:35] plumber | Fort Lauderdale FL | scraped 75, +41 leads | maps total: 617
[21:00:15] plumber | Hollywood FL | scraped 77, +21 leads | maps total: 638
[21:00:41] plumber | Pembroke Pines FL | scraped 70, +10 leads | maps total: 648
[21:02:08] plumber | Pompano Beach FL | scraped 76, +23 leads | maps total: 671
[21:02:53] plumber | Boca Raton FL | scraped 72, +19 leads | maps total: 690
[21:18:20] plumber | Miramar FL | scraped 68, +0 leads | maps total: 690
[21:18:59] plumber | Davie FL | scraped 75, +8 leads | maps total: 698
[21:19:33] plumber | Sunrise FL | scraped 78, +14 leads | maps total: 712
[21:20:49] plumber | Coral Springs FL | scraped 78, +11 leads | maps total: 723
[21:24:52] hvac contractor | Miami FL | scraped 68, +34 leads | maps total: 757
[21:25:33] hvac contractor | Hialeah FL | scraped 72, +32 leads | maps total: 789
[21:26:12] hvac contractor | Miami Gardens FL | scraped 66, +22 leads | maps total: 811
[21:26:44] hvac contractor | Homestead FL | scraped 55, +19 leads | maps total: 830
[21:29:06] hvac contractor | Kendall FL | scraped 67, +34 leads | maps total: 864
[21:29:39] hvac contractor | Doral FL | scraped 69, +17 leads | maps total: 881
