name,website,domain,email,phone,city,niche
Amor Animal Hospital,https://www.amorhospital.com/,amorhospital.com,,+13059745510,Aventura,clinic
Smile Creators,https://bayharbordentistry.com/,bayharbordentistry.com,,+1 305-615-5722,Bay Harbor Islands,clinic
Advanced Endodontic Group,https://advancedendodonticgroup.com/,advancedendodonticgroup.com,,+1 305-916-6061,Bay Harbor Islands,clinic
Vision Mood Miami,https://visionmood.com/,visionmood.com,help@visionmood.com,+1-786-288-5160;+1-786-613-4014,Bay Harbor Islands,clinic
"Ronik Seecharan, D.M.D., P.A.",http://ronikseecharandmd.com,ronikseecharandmd.com,,+1-561-395-3244,Boca Raton,clinic
Tendler Orthodontics,https://www.tendlerorthodontics.com/,tendlerorthodontics.com,,,Boca Raton,clinic
Visual Eyes,https://visualeyesboca.com,visualeyesboca.com,info@visualeyesboca.com,+1-561-392-8383,Boca Raton,clinic
Great Expressions,https://www.greatexpressions.com/dental-offices/dentist-in-boynton-beach-florida-n-congress-ave/,greatexpressions.com,,+1 561-732-6900,Boynton Beach,clinic
Modern Dental Smiles,https://www.moderndentalsmiles.com/boynton-beach-fl/,moderndentalsmiles.com,,+1 561-732-2400,Boynton Beach,clinic
VEG | ER for Pets,https://www.veg.com/locations/florida/boynton-beach,veg.com,,+1 561-757-7382,Boynton Beach,clinic
Chewy Vet Care,https://www.chewy.com/vet-care/vet-near-me/fl/boynton-beach/1500-gateway-blvd-suite-150B,chewy.com,,+1-561-752-3232,Boynton Beach,clinic
Boynton Implant & Cosmetic Dentistry,https://dentalimplantsboyntonbeach.com/,dentalimplantsboyntonbeach.com,,+1 561-736-1700,Boynton Beach,clinic
Smile Boynton Cosmetic & Family Dentistry,https://www.smileboynton.com/,smileboynton.com,info@smileboynton.com,+1 561-737-1600,Boynton Beach,clinic
Smiles by Glerum,https://dentist-boyntonbeach.com/,dentist-boyntonbeach.com,frontdesk@smilesbyglerum.com,+1-561-374-8922,Boynton Beach,clinic
Xing Lin Holistic Healing Center,http://www.xinglinhealing.com,xinglinhealing.com,,+1-954-392-5212,Cooper City,clinic
South Gables Dental,https://southgablesdental.com/,southgablesdental.com,,+1-305-665-1263,Coral Gables,clinic
Flossy Smiles Dental Implants & Esthetics: Dr. Gio,https://www.flossysmiles.com/,flossysmiles.com,,+1-786-384-6455,Coral Gables,clinic
Choice MD,https://www.choicemd.com,choicemd.com,,+1-305-777-0219,Coral Gables,clinic
Zambrano Orthodontics,https://miamidadeorthodontist.com/,miamidadeorthodontist.com,info@miamidadeorthodontist.com,+1 305-394-8112,Coral Gables,clinic
Smile Design Dental of Coral Springs,https://www.smiledesigndentalfl.com/areas-served/dentist-in-coral-springs-fl/,smiledesigndentalfl.com,,+1 954-575-9800,Coral Springs,clinic
ClearWave Dental & Aesthetics,https://www.clearwavedental.com/,clearwavedental.com,info@clearwavedental.com,+1-954-345-5200,Coral Springs,clinic
VCA Pet Medical Center and Boarding,,,coralsprings@petmedicalcenters.com,+1-954-341-4123,Coral Springs,clinic
Sage Dental,https://mysagedental.com/,mysagedental.com,,,Coral Springs,clinic
Dr. Darrin Cupo DMD PA,https://cupoortho.com/homepage/index.html,cupoortho.com,,+1-305-278-9914,Cutler Bay,clinic
Cutler Bay Animal Clinic,https://www.cutlerbayanimalclinic.com/,cutlerbayanimalclinic.com,cutlerbayanimalclinic@gmail.com,+1-305-251-4244,Cutler Bay,clinic
My EyeLab,https://www.myeyelab.com/locations/cutler-bay/,myeyelab.com,,+1-786-446-9918,Cutler Bay,clinic
One Dental Studio,https://www.1dentalstudio.com,1dentalstudio.com,,+1-954-587-9737,Davie,clinic
Balasky Animal Hospital,https://balaskyanimalhospital.com/,balaskyanimalhospital.com,,,Davie,clinic
"Medamerica Rehab Center, Inc",https://www.medamericarehab.com/,medamericarehab.com,,+1 954-428-4707,Deerfield Beach,clinic
