name,website,domain,email,phone,city,niche
Roche Bobois,https://www.roche-bobois.com/en-US/showrooms/miami-aventura/s1553.html,roche-bobois.com,,+13059350035,Aventura,local_a
Pandora,https://aventuramall.com/shops/pandora/?location=UL1930,aventuramall.com,,+1 305 933 4494,Aventura,local_a
Amir Rug Gallery,https://www.amirruggallery.com/,amirruggallery.com,ruga@bellsouth.net,+1-305-974-2371,Aventura,local_a
Anima Domus - Aventura,https://animadomus.com/,animadomus.com,,+13054708881,Aventura,local_a
Materia Collection,,,info@materiacollection.com,+1 786-438-1330,Bay Harbor Islands,local_a
Regent Jewelers,https://regentjewelers.net/,regentjewelers.net,info@regentjewelers.net,+1-305-442-7373,Bay Harbor Islands,local_a
Jackie Abraham,https://www.jackieabraham.com/,jackieabraham.com,sales@jackieabraham.com,+1-305-868-4336,Bay Harbor Islands,local_a
Lloyd's Studio Photography,https://lloydsstudio.com/,lloydsstudio.com,,+1 561-394-8399,Boca Raton,local_a
Saint Moritz Jewelers,https://jewelryboca.com/,jewelryboca.com,,+1-561-394-7919,Boca Raton,local_a
French Florist,,,bocaraton@frenchflorist.com,+1-561-493-3143,Boca Raton,local_a
Modani,https://modani.com/pages/location/boca-raton,modani.com,,+15617177711,Boca Raton,local_a
CITY HOME,https://www.cityhome.com/stores/boca-raton/,cityhome.com,,+15617505200,Boca Raton,local_a
Wooven,https://www.wooven.com,wooven.com,,+1-954-968-6657,Boca Raton,local_a
Oakgem,https://oakgem.com,oakgem.com,,+1-877-355-9500,Boca Raton,local_a
Z Gallerie,https://www.zgallerie.com,zgallerie.com,,+1-561-347-5966,Boca Raton,local_a
Kendra Scott,https://www.kendrascott.com,kendrascott.com,miznerpark@kendrascott.com,+1-561-430-2520,Boca Raton,local_a
ECJ Luxe,https://ecjluxe.com,ecjluxe.com,,+1-561-353-5216,Boca Raton,local_a
Brillante Jewelers,https://brillantejewelers.com/,brillantejewelers.com,,+1 561-737-9595,Boynton Beach,local_a
The Blossom Shoppe,https://www.blossomshoppeflorist.com/,blossomshoppeflorist.com,,+1-561-732-3722,Boynton Beach,local_a
Jae's Jewelers,https://www.jaesjewelers.com/,jaesjewelers.com,,+1-305-443-7724,Coral Gables,local_a
L'Artisane,https://www.lartisanebakery.com/,lartisanebakery.com,,+1-786-502-8595,Coral Gables,local_a
Amaury Jewelry,https://amauryjewelry.com/,amauryjewelry.com,amauryjewelry@gmail.com,+1-305-445-5242,Coral Gables,local_a
Arona Home Essentials,https://www.aronarents.com/miami-fl-65,aronarents.com,,+1 305-252-2727,Cutler Bay,local_a
laundromart,https://www.laundromart.com/laundromart-cutler-bay,laundromart.com,,+1-877-446-9274,Cutler Bay,local_a
Etheric Manifest,https://etheric-manifest.square.site/,etheric-manifest.square.site,inquires@ethericmanifest.com,+1-786-675-3431,Cutler Bay,local_a
Rooms To Go,https://www.roomstogo.com/stores/florida/cutler-bay-showroom-401,roomstogo.com,,+1-305-253-8344,Cutler Bay,local_a
Ashley HomeStore,https://stores.ashleyfurniture.com/store/us/florida/cutler-bay/7710000079/,stores.ashleyfurniture.com,,+1-305-232-0142,Cutler Bay,local_a
CITY Furniture,https://cityfurniture.com/stores/cutler-bay,cityfurniture.com,,+1-305-255-3538,Cutler Bay,local_a
El Dorado Furniture,https://www.eldoradofurniture.com/stores/miami/miami-dade/cutler-bay-boulevard/,eldoradofurniture.com,,+1-305-474-5319,Cutler Bay,local_a
Antonini Modern Living,http://www.antoninimodernliving.com,antoninimodernliving.com,sam@antoninimodernliving.com,+1 954 9223131,Dania Beach,local_a
Padro Custom Furniture,https://www.padrofurniture.com/,padrofurniture.com,,+1-954-921-8000,Dania Beach,local_a
Baer's Furniture,http://www.baers.com/,baers.com,,+19549270237,Dania Beach,local_a
Portraits by Lisa Ann,https://portraitsbylisaann.com/,portraitsbylisaann.com,info@portraitsbylisaann.com,+1 954-872-8525,Davie,local_a
Bagels with Deli,https://www.bagelswithdeli.com/,bagelswithdeli.com,,+1-561-279-4799,Delray Beach,local_a
Paris baguette,https://parisbaguette.com/locations/,parisbaguette.com,,+1 561-901-2797,Delray Beach,local_a
Crumbl Cookies,https://crumblcookies.com/fldelraybeach,crumblcookies.com,,+1 561-948-5570,Delray Beach,local_a
Artisan Furniture & Finds,http://www.artisandoral.com,artisandoral.com,,+1-305-697-9424,Doral,local_a
Ever After Design Studio,https://everafterdesignstudios.com,everafterdesignstudios.com,hello@everafterdesignstudios.com,+1-786-615-7928,Doral,local_a
OCP Photography,https://www.ocpphotographymiami.com,ocpphotographymiami.com,ocpphotographymiami@gmail.com,+1-786-227-3132,Doral,local_a
Le Fournil de Fontainebleau,https://www.fontainebleau-tourisme.com/fr/fiche/5053583/le-fournil-de-fontainebleau/,fontainebleau-tourisme.com,info@fontainebleau-tourisme.com,+33 1 64 69 02 98,Fontainebleau,local_a
La Galerie des Pains,https://www.facebook.com/lagaleriedespains/?fref=photo,facebook.com,,+33 1 60 66 40 59,Fontainebleau,local_a
Frédéric Cassel,https://www.openstreetmap.org/node/7603491198,openstreetmap.org,,+33 1 60 71 00 64,Fontainebleau,local_a
Sunshine Bakery,https://sunshinebakeryflorida.com/en/home/,sunshinebakeryflorida.com,,+1-954-584-1202,Fort Lauderdale,local_a
The Laundry Gnomes,https://www.thelaundrygnomes.com/,thelaundrygnomes.com,,+19544952645,Fort Lauderdale,local_a
Gran Forno Bakery,https://www.granforno.com/,granforno.com,,+19544672244,Fort Lauderdale,local_a
Paradise Grills,https://paradisegrillsdirect.com/showroom/fort-lauderdale-fl-outdoor-kitchens/,paradisegrillsdirect.com,,+17542630982,Fort Lauderdale,local_a
Broward Design Center,https://www.thebrowarddesigncenter.com/,thebrowarddesigncenter.com,,+19545230840,Fort Lauderdale,local_a
Moises Bakery,https://moisesbakery.com/,moisesbakery.com,,+19544579780,Hallandale Beach,local_a
Swifty Laundromat,http://laundromat-business.com/locations/florida/,laundromat-business.com,,+1-954-455-7708,Hallandale Beach,local_a
Lyn's Furniture Hialeah,https://www.lynsfurniture.net/,lynsfurniture.net,,+1-305-640-5352,Hialeah,local_a
Dania,https://daniafurniture.com/,daniafurniture.com,,+1-503-284-0880,Hollywood,local_a
Badcock,https://badcocksfl.com,badcocksfl.com,,+1 954-921-2884,Hollywood,local_a
Mint Jeweler,https://mintjeweler.com/,mintjeweler.com,mintjeweler@hotmail.com,+1-954-374-3533,Hollywood,local_a
Soberon Studio,https://www.soberonstudio.com,soberonstudio.com,sales@soberonstudio.com,+1-954-921-7412,Hollywood,local_a
Farmer's Milk,https://farmersmilk.miami/,farmersmilk.miami,,,Hollywood,local_a
Flower House,https://flowerhousemiami.com,flowerhousemiami.com,info@flowerhousemiami.com,+1-786-925-8182,Hollywood,local_a
Fleur De Lis,https://fleurdelisbakery.com/,fleurdelisbakery.com,,+1-503-459-4887,Hollywood,local_a
Luke's Dixie Donuts,https://lukesdixiedonuts.com/,lukesdixiedonuts.com,lukesdixiedonuts@gmail.com,+1-561-972-4693,Jupiter,local_a
Bread by Johnny,https://breadbyjohnny.com/,breadbyjohnny.com,,,Jupiter,local_a
The Millimeter To My Lens,,,2756587@gmail.com,+1-561-574-0599,Lake Park,local_a
Gold Grillz 954 LLC,https://www.goldgrillz954.com/,goldgrillz954.com,,+1 954-440-0510,Lauderdale Lakes,local_a
CRM Jewelers,https://www.crmjewelers.com,crmjewelers.com,ecom@crmjewelers.com,+1-305-349-5000,Miami,local_a
Zak the Baker,https://zakthebaker.com/,zakthebaker.com,,+1 786 347 7100,Miami,local_a
La Rosa Bakery,http://www.larosabakery.com/,larosabakery.com,,+1 305-443-2113,Miami,local_a
Gran Paris Bakery,https://www.ordergranparisbakery.com,ordergranparisbakery.com,,,Miami,local_a
Miami Hot Bread,https://miamihotbread.com/,miamihotbread.com,,+61 7 5576 4448,Miami,local_a
SB Design,http://sbdsign.com,sbdsign.com,,+1-305-573-1117,Miami,local_a
La Esquina del Pan con Bistec,https://www.elpanconbistec.com/,elpanconbistec.com,,+1-786-631-4287,Miami,local_a
Carriage House Modern,http://ch-modern.com,ch-modern.com,,+1 305-576-7373,Miami,local_a
Whitestone Diamonds,https://www.whitestonediamonds.com/,whitestonediamonds.com,,+1-305-877-3335,Miami,local_a
King's Jewelry,https://www.kingsjewelryinc.com/,kingsjewelryinc.com,,+1 305-324-6111,Miami,local_a
Little Havana Laundry,https://www.littlehavanalaundry.com/,littlehavanalaundry.com,,+1 786-534-8444,Miami,local_a
MITCHELL GOLD + BOB WILLIAMS,http://mgbwhome.com/,mgbwhome.com,,+1-786-609-9920,Miami,local_a
THE WALLPAPER COMPANY,https://www.thewallpapercompany.com/,thewallpapercompany.com,,+1-786-762-2646,Miami,local_a
Ode à la Rose Miami,https://www.odealarose.com/miami-flower-delivery,odealarose.com,customerservice@odealarose.com,+1 786-567-9964,Miami,local_a
Luxury Diamond Flowers,https://luxurydiamondflowers.com/,luxurydiamondflowers.com,info@luxurydiamondflowers.com,+1-305-814-6323,Miami,local_a
Enrique Muñoz,https://www.enriquemunozstudio.com/,enriquemunozstudio.com,,,Miami,local_a
Watches World LLC,https://www.watchesworld.com/,watchesworld.com,,+1-786-767-5547,Miami,local_a
Rent-A-Center,https://locations.rentacenter.com/florida/miami/1688-sw-8th-st/,locations.rentacenter.com,,+1 305-649-9955,Miami,local_a
Ofimueble,https://ofimueble.us/,ofimueble.us,info@ofimueble.us,+1 786-608-3098,Miami,local_a
Diamond dreams by Alex,https://mralexjewelry.com/,mralexjewelry.com,,+1-305-836-7070,Miami,local_a
Mayors Jewelers,https://mayors.com/store-locator/?brand=Select+a+brand&address=33139,mayors.com,,+1 305 672 1662,Miami Beach,local_a
Paul,http://www.paul-usa.com,paul-usa.com,,,Miami Beach,local_a
Rosetta Bakery,https://www.rosettabakery.com/,rosettabakery.com,,+1-305-907-7705,Miami Beach,local_a
Miami Daylight Studios,https://miamidaylightstudios.com,miamidaylightstudios.com,,,Miami Beach,local_a
Les Moulins La Fayette,https://lesmoulinslafayette.com/miami/,lesmoulinslafayette.com,,,Miami Beach,local_a
Art Connection,https://www.artconnectionjewelry.com,artconnectionjewelry.com,,,Miami Beach,local_a
ZEN Cakes Miami,https://www.zencakesmiami.com/,zencakesmiami.com,,,Miami Beach,local_a
San Gines Café,https://sanginesusa.com/,sanginesusa.com,,+13053810651,Miami Beach,local_a
My Sunny Coin Laundry,http://www.mydunnylaundry.com,mydunnylaundry.com,,+1 305 674 8421,Miami Beach,local_a
Ana Petrusha,https://www.anapetrusha.com/,anapetrusha.com,,+39 351 810 82 30,Miami Beach,local_a
My Sunny Laundry,https://www.mysunnylaundry.com/?utm_source=googlebusinessprofile&utm_medium=gbpinfo&utm_campaign=GMBG,mysunnylaundry.com,,+1 305-866-5455,Miami Beach,local_a
Abbott Florist,https://www.abbottfloristmiami.com/,abbottfloristmiami.com,,+1 305-865-9808,Miami Beach,local_a
Douceurs & Tralala,https://douceurs-tralala.com/,douceurs-tralala.com,hello@douceurs-tralala.com,+1-786-960-6866,Miami Beach,local_a
Wash Club of South Beach,https://www.washclubsouthbeach.com/,washclubsouthbeach.com,,+1-305-538-6446,Miami Beach,local_a
Cemhan Biricik Photography,https://cemhanbiricik.com/,cemhanbiricik.com,,,Miami Beach,local_a
Picture Tek Studio,https://picturetekstudio.com,picturetekstudio.com,,+1 305-653-0211,Miami Gardens,local_a
Royal Dry Cleaners,http://www.royalcleanersmiami.com/,royalcleanersmiami.com,,+13058934311,North Miami,local_a
Italo Design,https://italodesignusa.com/,italodesignusa.com,,+1-305-833-7275,North Miami Beach,local_a
CAO Bakery & Cafe,https://caobakerycafe.com,caobakerycafe.com,,+1-305-816-6197,North Miami Beach,local_a
Julius Lowy Frame & Restoring Company,https://www.lowy1907.com/,lowy1907.com,,,Palm Beach,local_a
foundrae,https://foundrae.com/,foundrae.com,,,Palm Beach,local_a
Enchanted Floral Design,https://www.enchantedfloraldesign.com/,enchantedfloraldesign.com,,+1-760-205-3007,Palm Springs,local_a
Artisan Furniture & Finds,,,afw@artisanmiami.com,+1-561-247-1847,Palm Springs,local_a
Vicky Bakery,https://vickybakery.com,vickybakery.com,info@vickybakery.com,+1-954-271-2662,Pembroke Pines,local_a
Bonjour French Bakery & Cafe - Pembroke Pines,https://bonjourbakeryusa.com/,bonjourbakeryusa.com,,+1-786-584-8141,Pembroke Pines,local_a
Macy's Furniture Gallery,https://www.macys.com/stores/fl/pembrokepines/pines-blvd_775.html,macys.com,,,Pembroke Pines,local_a
Pinecrest bakery,https://pinecrestbakery.com/,pinecrestbakery.com,,+1 786-732-2269,Pinecrest,local_a
Maurice’s Jewelers,https://www.mauricesjewelers.com/,mauricesjewelers.com,,+1-305-253-5740,Pinecrest,local_a
Beds Best Bargain,http://bedsbestbargain.com,bedsbestbargain.com,,+1 954-880-1618,Pompano Beach,local_a
IKEA,https://www.ikea.com/us/en/stores/sunrise/,ikea.com,,,Sunrise,local_a
Leydi Cash Jewelry,https://leydicashjewelry.com,leydicashjewelry.com,,+1-305-226-6955,Sweetwater,local_a
Aaron's,https://locations.aarons.com/us/tx/sweetwater/411-ne-georgia-ave,locations.aarons.com,,,Sweetwater,local_a
Le Paris Cake Design Bakery,http://www.lepariscakedesign.com/home.html,lepariscakedesign.com,,+1-305-269-7000,West Miami,local_a
R&R Fabricare,https://rrfabricare.com/,rrfabricare.com,,,Weston,local_a
Minute Man Cleaners,https://www.minutemencleaners.com/,minutemencleaners.com,,+1-203-349-5302,Weston,local_a
Buffalo Ranch Rustic Furnishings,https://www.buffaloranchweston.com/,buffaloranchweston.com,,+18163864111,Weston,local_a
Adams-Mayfair Co,https://www.adamsmayfair.com/,adamsmayfair.com,,+18166400110,Weston,local_a
Makery Market,https://www.makerymkt.com/,makerymkt.com,,+18163864034,Weston,local_a
Mia Jewelers,https://www.miajewelers.com,miajewelers.com,contact@miajewelers.com,+1-954-515-0504,Weston,local_a
