name,website,domain,email,phone,city,niche
PetSmart,https://www.petsmart.com/stores/us/fl/aventura-store0354.html,petsmart.com,,+1 305-682-8858,Aventura,local_b
Trek,https://www.trekbikesflorida.com/about/trek-bicycle-store-of-boynton-beach-pg1078.htm,trekbikesflorida.com,,+1 561-733-8300,Boynton Beach,local_b
Here You Travel,https://hereyoutravel.com/,hereyoutravel.com,reservations@hereyoutravel.com,+1 786-387-0000,Coral Gables,local_b
Verdant Lyfe,https://www.verdantlyfe.com/,verdantlyfe.com,hello@verdantlyfe.com,+1-786-244-3888,Coral Springs,local_b
Pet Supermarket,https://www.petsupermarket.com/storelocator/?storeId=121,petsupermarket.com,,+1 305-251-8442,Cutler Bay,local_b
Musicians Discount Center,https://www.musiciansdiscountcenter.net/,musiciansdiscountcenter.net,musiciansdiscountcenter@gmail.com,+1-305-255-9466,Cutler Bay,local_b
Petco,https://stores.petco.com/fl/miami/pet-supplies-miami-fl-2712.html,stores.petco.com,,+1 305-252-4065,Cutler Bay,local_b
Appliance Repair by Asurion,https://appliance-repair.asurion.com/florida/miami/18962-s-dixie-hwy,appliance-repair.asurion.com,,+1-786-573-8257,Cutler Bay,local_b
Hilsboro,https://www.hillsborobicycle.com/,hillsborobicycle.com,,+1-954-427-7063,Deerfield Beach,local_b
Cyclevolution,https://www.cyclevolution.com,cyclevolution.com,cyclevolution@gmail.com,+1-561-376-2544,Delray Beach,local_b
Pooch Perks,https://poochperks.com/,poochperks.com,admin@poochperks.com,+1 786-534-7057,Doral,local_b
Bark Square,https://www.barksquare.com,barksquare.com,,+1-786-401-7748,Doral,local_b
À La Petite Reine,https://www.alapetitereine.com,alapetitereine.com,la-petite-reine@wanadoo.fr,+33 1 60 74 57 57,Fontainebleau,local_b
Alizé Voyages,https://fr-fr.facebook.com/alizevoyagesfontainebleau/,fr-fr.facebook.com,,+33 1 60 72 65 09,Fontainebleau,local_b
Velo Bello,https://velobellofrance.wordpress.com/,velobellofrance.wordpress.com,velobello@orange.fr,+33 6 02 17 91 48,Fontainebleau,local_b
Thierry May,https://www.thierrymay.com/,thierrymay.com,thmay@wanadoo.fr,+33 1 64 22 05 46,Fontainebleau,local_b
Comptoir à Musique Boulinier,https://www.boulinier.com/,boulinier.com,contact.boulinier@gmail.com,+33 1 60 72 74 14,Fontainebleau,local_b
Station Bees,https://www.nemours.stationsbees.com,nemours.stationsbees.com,nemours@stationsbees.com,+33 7 44 40 60 16,Fontainebleau,local_b
Fontainebleau Bike Shop,https://www.fontainebleaubikeshop.com/,fontainebleaubikeshop.com,contact@fontainebleaubikeshop.com,+33160570273,Fontainebleau,local_b
EasyBreezy BnB,https://easybreezybnb.com/,easybreezybnb.com,,+1-954-865-7502,Fort Lauderdale,local_b
Guitar Center,https://stores.guitarcenter.com/fl/hallandale/770,stores.guitarcenter.com,,+19544567890,Hallandale Beach,local_b
"Traffic Ticket Attorney In Miami, Fl",http://www.traffic-ticket-attorney-miami.com/,traffic-ticket-attorney-miami.com,,+1 305 826 8266,Hialeah,local_b
"Marazul Charters, Inc.",http://www.marazulcharters.com,marazulcharters.com,,+1 305 828 8950,Hialeah,local_b
Paradise Cuba Travel,http://paradisecubatravel.com,paradisecubatravel.com,,+1 305-231-7355,Hialeah,local_b
Via Blanca Multiservice Inc.,https://viablancamultiservice.com,viablancamultiservice.com,,+1-786-362-5542,Hialeah,local_b
Antique Alley,http://www.antiquealleypdx.com/,antiquealleypdx.com,,+1-503-287-9848,Hollywood,local_b
The Wet Spot Tropical Fish,https://www.wetspottropicalfish.com/,wetspottropicalfish.com,,+1-503-287-3339,Hollywood,local_b
Radiant Tech Repair,http://www.radiantrepair.com/,radiantrepair.com,,+1-971-319-6915,Hollywood,local_b
MacPCX,http://macpcx.com/,macpcx.com,,+1-971-270-9707,Hollywood,local_b
Pet Supermarket,https://petsupermarket.brickworksoftware.com/store-locator/s/hollywood-fl-350,petsupermarket.brickworksoftware.com,,+1-954-602-9488,Hollywood,local_b
Impact Computers & Electronics,https://impactcomputers.com/,impactcomputers.com,,+1-954-920-3100,Hollywood,local_b
Eileen Hagen Studios,https://portlandaccordioncenter.com/,portlandaccordioncenter.com,,+1-503-284-6586,Hollywood,local_b
Lush Puppy Pet Resort,https://lushpuppypetresort.com/,lushpuppypetresort.com,,+1 561-745-1719,Jupiter,local_b
JB Bike Shop,https://jbbikeshop.com/,jbbikeshop.com,,,Miami Beach,local_b
BONEFLY,https://bonefly.com/,bonefly.com,,,Miami Beach,local_b
Miami Tours,https://miamitours.com,miamitours.com,,+1-305-222-0111,Miami Beach,local_b
Sprachcaffe Habana,http://www.sprachcaffe-kuba.com/de/index.htm,sprachcaffe-kuba.com,,,Miramar,local_b
Volta Plus,,,superlaptop1@gmail.com,+5352674587,Miramar,local_b
E,,,mtg@mtg.co.cu,+53 52045255,Miramar,local_b
Venta de Internet Servicio Conmutado,,,yisel0945@gmail.com,,Miramar,local_b
