name,website,domain,email,phone,city,niche
Ace Hardware,https://www.acehardware.com/store-details/15680,acehardware.com,brickell@acehardgoods.com,+1 786-409-3100,Miami,trades
DeColores Collision Center,https://decolorescollisioncenter.com/,decolorescollisioncenter.com,,,Miami,trades
Ntech Mekanix,https://ntechmekanix.com.au/,ntechmekanix.com.au,,+61 7 5520 0304,Miami,trades
Talc Electrical,http://www.goldcoastbodycorporateelectrician.com.au/,goldcoastbodycorporateelectrician.com.au,,+61 412 519 519,Miami,trades
Safelite AutoGlass,https://www.safelite.com/stores/Dade,safelite.com,,+1-877-465-5224,Miami,trades
Orian Roofing And Construction,https://orianroofingmia.com/,orianroofingmia.com,orianroofingmia@gmail.com,+1-305-707-4457,Miami,trades
David Carpentry Inc.,https://davidcarpentry.com,davidcarpentry.com,,+1-786-704-6446,Miami,trades
Miami RooterPRO,https://miamirooterpro.com/,miamirooterpro.com,,+1-305-537-9402,Miami,trades
Jiffy Lube,https://jiffylubespecials.com/locations/florida/8295-biscayne-blvd-miami-33138,jiffylubespecials.com,,+13057581101,Miami,trades
ASAP Roadworthys,https://www.asaproadworthys.com.au/,asaproadworthys.com.au,,,Miami,trades
Harbor Freight Tools,https://www.harborfreight.com/storelocator/2851-nw-27th-ave-miami-33142?number=519,harborfreight.com,,+1 305-635-5095,Miami,trades
Brahman Service & Parts,https://www.bramanmotorsbmw.com/braman-miami-bmw-service-center-miami-fl.htm,bramanmotorsbmw.com,,+17864711804,Miami,trades
Home Solution Depot,https://homesolutiondepot.com,homesolutiondepot.com,homesolutiondepot@yahoo.com,+1-305-766-8807,Hialeah,trades
Primary Windows,http://primarywindows.com,primarywindows.com,,+1 786-471-1811,Coral Gables,trades
All Parts Usa.com,https://www.allpartsusa.com/,allpartsusa.com,,+1-305-546-0376,Doral,trades
Grainger,https://www.grainger.com/branch/Doral-Branch-480,grainger.com,,,Doral,trades
Homestead Glass Co,https://homesteadglass.com,homesteadglass.com,,+1 305-247-5025,Homestead,trades
M & M Auto Sales Of North Miami,http://mmautosalesmiami.com,mmautosalesmiami.com,,+1-305-893-4043,North Miami,trades
Valvoline Instant Oil Change,https://store.vioc.com/fl/northmiami/oil-change-gq0049.html,store.vioc.com,,,North Miami,trades
Mercedes & BMW Service and Repair By AGT Imports,https://www.agtimports.com/,agtimports.com,,+13059744412,North Miami,trades
Palmetto Alfa Romeo-Fiat Service Department,https://www.palmettoalfaromeofiat.com/,palmettoalfaromeofiat.com,,+13059486794,North Miami Beach,trades
Unclog Plumbing Services 24/7 North Miami,https://unclogplumbingservices247.com,unclogplumbingservices247.com,,+1-855-799-1335,North Miami Beach,trades
Goodyear Auto Service Center,https://www.miamiautotires.com/,miamiautotires.com,,+1 305-627-3427,North Miami Beach,trades
Phoenix Complete Auto Care & Tires,https://phoenixcompleteautocare.com/,phoenixcompleteautocare.com,,+1-305-957-0087,North Miami Beach,trades
Tint World,https://www.tintworld.com/locations/fl/miami-048/,tintworld.com,,+1-305-504-8687,North Miami Beach,trades
Aventura Chrysler Jeep Dodge Ram Service & Parts,https://www.aventurachryslerjeepdodgeram.com/,aventurachryslerjeepdodgeram.com,,+1-305-405-3317,North Miami Beach,trades
Firestone Complete Auto Care,https://www.firestonecompleteautocare.com/florida/north-miami-beach/16251-miami-dr/,firestonecompleteautocare.com,,+1-305-626-4783,North Miami Beach,trades
AAA Radiator and Auto Air Conditioning,https://www.autoacservice.com/,autoacservice.com,,+1-305-947-3501,North Miami Beach,trades
Freezing Mechanical,https://freezingmechanical.com/,freezingmechanical.com,,+1-305-363-7021,Miami Gardens,trades
Subaru of North Miami Service Center,https://www.subaruofnorthmiami.com/service.aspx,subaruofnorthmiami.com,,+1-786-284-1742,Miami Gardens,trades
Fastsigns,https://www.fastsigns.com/542-cutler-bay-fl,fastsigns.com,,+1-305-232-0259,Cutler Bay,trades
Cowboy Pump & Supply,https://cowboypump.com/,cowboypump.com,,+13252355100,Sweetwater,trades
George's Auto Repair,https://georgeswestchester.com/,georgeswestchester.com,,+1-708-865-9080,Westchester,trades
Svica,https://concessions.peugeot.fr/gueudetfontainebleau/,concessions.peugeot.fr,,+33 1 60 39 66 66,Fontainebleau,trades
Midas,https://www.midas.fr/,midas.fr,,+33 1 64 22 01 02,Fontainebleau,trades
Hammerschmidt,https://plombier77.fr/,plombier77.fr,,+33 1 60 71 86 94,Fontainebleau,trades
La Charrette Bleu,https://fr-fr.facebook.com/dupontcharleslouis/,fr-fr.facebook.com,,+33 1 60 96 45 01,Fontainebleau,trades
