score,domain,https,mobile,builder,year,email,phone,reason
0,hammerheadiron.com,yes,yes,-,2026,hammerhead863@gmail.com,(863) 965-9111,"the site is dated and plain — a modern refresh would stand out"
1,centralfloridamobilewelding.com,yes,yes,Wix,,,,"the site is dated and plain — a modern refresh would stand out"
0,turtlecrewwelding.com,yes,yes,-,2026,jswincicki@turtlecrewwelding.com,863-350-0627,"the site is dated and plain — a modern refresh would stand out"
0,jcluxuryupholstery.com,yes,yes,-,,,(786) 861-0102,"the site is dated and plain — a modern refresh would stand out"
0,upholsterygerardo.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
8,uphusa.com,no,no,-,,,,"the site loads without HTTPS, so browsers show visitors a "Not Secure" warning"
0,anthonyinterior.com,yes,yes,-,,anthonyinteriors@aol.com,954-785-2225,"the site is dated and plain — a modern refresh would stand out"
0,karenanddondesigners.com,yes,yes,Wix,2026,,954-491-4915,"the site is dated and plain — a modern refresh would stand out"
0,superiorupholstery-designservice.com,yes,yes,-,,,(352) 502-8899,"the site is dated and plain — a modern refresh would stand out"
0,awards4u.com,yes,yes,-,2026,ecommerce@awards4u.com,850-878-7187,"the site is dated and plain — a modern refresh would stand out"
0,morethanawards.com,yes,yes,-,2026,,(727) 771-2823,"the site is dated and plain — a modern refresh would stand out"
0,victoryengravingfl.com,yes,yes,GoDaddy,2026,Orders.victoryengraving@gmail.com,(352) 343-8886,"the site is dated and plain — a modern refresh would stand out"
0,sarasotatrophy.com,yes,yes,-,2026,,(941) 921-4339,"the site is dated and plain — a modern refresh would stand out"
0,specialtyengravingflorida.com,yes,yes,-,2026,doug@awardsfl.com,904-731-1692,"the site is dated and plain — a modern refresh would stand out"
0,floridaawards.com,dead,,,,,,"did not load"
0,awardgallery.net,yes,yes,-,,,904-272-1460,"the site is dated and plain — a modern refresh would stand out"
2,louscalias.com,yes,yes,-,2023,,954-472-9511,"the site is dated and plain — a modern refresh would stand out"
0,thesmallenginerepair.com,yes,yes,-,2026,willjperez23@gmail.com,813-841-2167,"the site is dated and plain — a modern refresh would stand out"
0,blackcreekservicesinc.com,yes,yes,GoDaddy,,,,"the site is dated and plain — a modern refresh would stand out"
0,hafnerslawnandsupply.com,yes,yes,Wix,2026,,850-449-4332,"the site is dated and plain — a modern refresh would stand out"
0,lawnmowerandsmallenginerepair.com,yes,yes,Squarespace,,user@domain.com,,"the site is dated and plain — a modern refresh would stand out"
7,mowermedicstampa.com,no,no,-,,,,"the site loads without HTTPS, so browsers show visitors a "Not Secure" warning"
0,themowershoporlando.com,yes,yes,-,,kaegan@themowershoporlando.com,407.275.3100,"the site is dated and plain — a modern refresh would stand out"
0,jackssmallenginerepaironline.com,yes,yes,-,,info@jackssmallenginerepaironline.com,386-462-2882,"the site is dated and plain — a modern refresh would stand out"
1,santanaspowersports.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
0,northriversmallengine.com,yes,yes,-,,smallenginenorthriver@gmail.com,941-723-0902,"the site is dated and plain — a modern refresh would stand out"
0,robsseptictanks.com,yes,yes,-,,,(352) 394-3114,"the site is dated and plain — a modern refresh would stand out"
0,aesseptic.com,yes,yes,-,2026,,000.000.0000,"the site is dated and plain — a modern refresh would stand out"
0,darrellcrewspumping.com,yes,yes,-,2026,ajenks@asjdesigns.com,(904) 923-1241,"the site is dated and plain — a modern refresh would stand out"
0,johnsbyjohn.com,yes,yes,-,2026,info@johnsbyjohn.com,(352) 597-2829,"the site is dated and plain — a modern refresh would stand out"
0,anytimeseptic.net,yes,yes,-,,office.anytimeseptic@gmail.com,407-740-6816,"the site is dated and plain — a modern refresh would stand out"
0,shelleysseptictanks.com,yes,yes,-,,bshelley@shelleysseptic.com,(407) 889-8042,"the site is dated and plain — a modern refresh would stand out"
0,delrayshorespharmacy.com,yes,yes,Wix,2026,delrayshorespharmacy@gmail.com,561-272-2124,"the site is dated and plain — a modern refresh would stand out"
3,myprocarepharmacy.com,yes,yes,-,,myprocarepharmacy@gmail.com,(407) 730-2770,"the site is dated and plain — a modern refresh would stand out"
1,myritecarepharmacy.com,yes,yes,-,,,(407) 203-6895,"the site is dated and plain — a modern refresh would stand out"
0,harrisonspharmacy.com,yes,yes,-,,harrisonspharmacy1982@gmail.com,407-894-2373,"the site is dated and plain — a modern refresh would stand out"
0,flbodyshoplargo.com,yes,yes,-,,,(727) 536-3505,"the site is dated and plain — a modern refresh would stand out"
0,americancollisiononline.com,yes,yes,-,,,(239) 332-3044,"the site is dated and plain — a modern refresh would stand out"
1,allcountycollision.com,yes,yes,-,2026,ryan@allcountycollision.com,352-357-4599,"the site is dated and plain — a modern refresh would stand out"
0,mikesautobodyandpaintinc.com,yes,yes,-,,info@mikesautobodyandpaintinc.com,,"the site is dated and plain — a modern refresh would stand out"
4,roundtreebonding.com,yes,yes,-,2020,,(352) 376-6645,"the site looks unmaintained — the footer still shows 2020"
0,mathisbailbonds.com,yes,yes,Squarespace,2026,,352-271-1244,"the site is dated and plain — a modern refresh would stand out"
0,allcountybailbonds.com,yes,yes,-,,,(561) 967-0086,"the site is dated and plain — a modern refresh would stand out"
