score,domain,https,mobile,builder,year,email,phone,reason
0,familyfencetampa.com,yes,yes,-,2026,,813-571-5946,"the site is dated and plain — a modern refresh would stand out"
0,fencecentralfl.com,yes,yes,-,2026,info@FenceCentralFL.com,863-215-6511,"the site is dated and plain — a modern refresh would stand out"
0,allfencingandrepair.com,yes,yes,-,,mary@allfencingfl.com,(954) 306-3477,"the site is dated and plain — a modern refresh would stand out"
0,farencefencing.com,yes,yes,-,,farencefencing@gmail.com,(904) 719-3715,"the site is dated and plain — a modern refresh would stand out"
0,floridacommercialfencing.com,yes,yes,-,,picket@floridafenceandgates.com,941-921-4659,"the site is dated and plain — a modern refresh would stand out"
2,centralflfence.com,yes,yes,Wix,2020,centralflfence@gmail.com,407-984-6369,"the site looks unmaintained — the footer still shows 2020"
0,floridafenceco.com,yes,yes,-,,floridafenceco@gmail.com,(321) 522-6909,"the site is dated and plain — a modern refresh would stand out"
0,premierfenceofswfl.com,yes,yes,-,,kevin@premierfenceswfl.com,239-566-8642,"the site is dated and plain — a modern refresh would stand out"
0,karneytree.com,yes,yes,-,2026,karneytreeservice@gmail.com,(407) 432-2944,"the site is dated and plain — a modern refresh would stand out"
0,midfloridatreeservice.com,yes,yes,-,,reception@midfloridatree.com,(813) 588-0315,"the site is dated and plain — a modern refresh would stand out"
0,realtreeteam.com,yes,yes,-,2026,realtreemanagement@gmail.com,(954) 957-9540,"the site is dated and plain — a modern refresh would stand out"
0,loyaltreeservices.com,yes,yes,-,,sales@loyaltreeservices.com,561-764-5034,"the site is dated and plain — a modern refresh would stand out"
0,centralfltree.com,yes,yes,-,2023,office@centralfltree.com,863-670-7375,"the site is dated and plain — a modern refresh would stand out"
1,cftreeservices.com,yes,yes,-,2026,info@cftreeservices.com,352-437-4542,"the site is dated and plain — a modern refresh would stand out"
0,westtreeservices.com,yes,yes,-,2025,,407.427.3920,"the site is dated and plain — a modern refresh would stand out"
0,allfloridatreeservice.com,yes,yes,-,2026,AllFloridaTreeService@gmail.com,386-402-2072,"the site is dated and plain — a modern refresh would stand out"
0,gastonstreeservice.com,yes,yes,-,2026,,352-378-5801,"the site is dated and plain — a modern refresh would stand out"
0,pcftree.com,yes,yes,-,2026,,(941) 613-3613,"the site is dated and plain — a modern refresh would stand out"
0,garagedoorsfl.com,yes,yes,-,2026,,(888) 803-0565,"the site is dated and plain — a modern refresh would stand out"
0,danddgaragedoors.com,yes,yes,-,,Broken-Spring@3x.webp,888-371-7242,"the site is dated and plain — a modern refresh would stand out"
0,broten.com,yes,yes,-,2026,,(954) 946-5555,"the site is dated and plain — a modern refresh would stand out"
0,overheaddoorofamerica.com,yes,yes,-,2026,info@overheaddoorofamerica.com,321-576-0125,"the site is dated and plain — a modern refresh would stand out"
0,afloridadoorsales.net,yes,yes,-,,info@afloridadoorsales.net,863-467-9600,"the site is dated and plain — a modern refresh would stand out"
0,floridagaragedoors.net,yes,yes,Wix,2025,Sales@floridagaragedoors.net,904-406-2339,"the site is dated and plain — a modern refresh would stand out"
1,expertappliancerepairsfl.com,yes,yes,-,,,352-669-6696,"the site is dated and plain — a modern refresh would stand out"
3,davisappliances.com,yes,yes,-,2016,info@davisappliances.com,850-249-7702,"the site looks unmaintained — the footer still shows 2016"
0,appliancerepairswfl.com,yes,yes,-,,,(239) 290-7173,"the site is dated and plain — a modern refresh would stand out"
0,alphaappliancerepairfl.com,yes,yes,-,2026,alphaapprepair@gmail.com,(407) 720-9721,"the site is dated and plain — a modern refresh would stand out"
2,roadrunnerfla.com,yes,yes,Wix,2021,roadrunner.fla@gmail.com,,"the site looks unmaintained — the footer still shows 2021"
